Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2017-06-19,10SFH,0.0155,0.0245,0.0501,0.0617,0.0919,0.1886,0.2305,0.2229,0.0534,0.0008,0.1967,0.1102,0.2663,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-06-29,10SFH,0.0173,0.0234,0.0492,0.0544,0.0933,0.2136,0.2572,0.2555,0.096,0.001,0.1823,0.1001,0.2811,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-07-09,10SFH,0.0176,0.0232,0.0474,0.0539,0.0914,0.2106,0.2564,0.2561,0.1019,0.0009,0.1781,0.0955,0.2948,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-07-14,10SFH,0.019,0.0225,0.0457,0.0473,0.0833,0.2078,0.2585,0.2592,0.0913,0.001,0.1694,0.0895,0.2972,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-07-19,10SFH,0.0185,0.0202,0.0457,0.0488,0.0876,0.2177,0.2661,0.2636,0.1185,0.001,0.1682,0.0899,0.2958,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-07-24,10SFH,0.0188,0.0205,0.0421,0.0439,0.0803,0.2062,0.258,0.2603,0.0893,0.0011,0.1597,0.0825,0.2912,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-07-29,10SFH,0.0171,0.018,0.0443,0.0464,0.0856,0.2108,0.2633,0.2682,0.1209,0.001,0.1614,0.0843,0.2983,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-08-03,10SFH,0.0217,0.0228,0.0483,0.048,0.0861,0.2197,0.2802,0.2821,0.0581,0.0063,0.1766,0.094,0.3149,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-08-08,10SFH,0.0213,0.0189,0.0401,0.0401,0.0775,0.209,0.2658,0.2643,0.0652,0.0009,0.1561,0.0806,0.2971,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-08-13,10SFH,0.0221,0.021,0.0461,0.0471,0.0834,0.2031,0.2546,0.2612,0.0631,0.0007,0.1639,0.0915,0.2856,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
