Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_LS,1,38.1027,-121.6413,2016-05-26,10SFH,0.0271,0.0372,0.0632,0.0695,0.2478,0.1676,0.101,0.0017,22.02,20.3,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-06-11,10SFH,0.0213,0.0323,0.0619,0.0696,0.2719,0.1736,0.1022,0.001,23.25,21.62,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-06-27,10SFH,0.0344,0.0425,0.0686,0.076,0.2796,0.1741,0.1029,0.0008,30.41,29.53,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-07-13,10SFH,0.0266,0.0371,0.0657,0.0754,0.2761,0.1759,0.1041,0.0012,28.74,28.19,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-07-29,10SFH,0.0286,0.0354,0.0575,0.0644,0.2605,0.1578,0.0902,0.0006,26.85,25.18,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-08-14,10SFH,0.027,0.0344,0.0577,0.0629,0.2585,0.1541,0.0885,0.0008,27.46,26.93,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-08-30,10SFH,0.008,0.0123,0.0249,0.0266,0.1056,0.0616,0.0328,0.0009,22.37,21.18,68.0,0b01000100,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-09-15,10SFH,0.0243,0.0333,0.0572,0.0643,0.2599,0.1534,0.0869,0.0013,23.03,22.39,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-10-01,10SFH,0.0254,0.0303,0.0501,0.0572,0.2254,0.1455,0.0845,0.0013,20.31,19.99,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-10-17,10SFH,0.0178,0.027,0.0523,0.0567,0.2374,0.1422,0.0789,0.0008,16.86,15.57,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-11-02,10SFH,0.0263,0.0305,0.0455,0.0526,0.1508,0.149,0.092,0.0008,15.71,15.26,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-11-18,10SFH,0.0256,0.0323,0.0481,0.0557,0.1605,0.1572,0.0962,0.001,11.19,11.04,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-12-04,10SFH,0.0253,0.0354,0.0593,0.0681,0.1723,0.1681,0.1037,0.0112,6.16,5.85,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2016-12-20,10SFH,0.0277,0.0362,0.0565,0.0664,0.177,0.1809,0.1081,0.0049,6.14,6.25,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-01-05,10SFH,0.0307,0.0369,0.0562,0.0722,0.1688,0.1678,0.1031,0.0013,6.67,6.84,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-01-21,10SFH,0.359,0.3405,0.3395,0.3513,0.387,0.2526,0.1911,0.004,-4.58,-4.65,130.0,0b10000010,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-02-06,10SFH,0.7218,0.6979,0.6309,0.6146,0.5992,0.2153,0.1544,0.0693,-16.04,-17.08,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-02-22,10SFH,0.0347,0.0588,0.1162,0.1229,0.2167,0.1659,0.1246,0.0304,-3.71,-3.28,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-03-10,10SFH,0.3177,0.3207,0.3403,0.3499,0.4821,0.4046,0.3878,0.1669,-26.51,-34.42,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-03-26,10SFH,0.4483,0.4614,0.4577,0.4703,0.5611,0.344,0.2302,0.0071,-5.42,-4.83,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-04-27,10SFH,0.0374,0.0447,0.0679,0.08,0.2086,0.2097,0.134,0.001,20.89,19.06,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-05-13,10SFH,0.035,0.0453,0.0732,0.0828,0.2347,0.2092,0.1322,0.0016,21.15,20.13,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-05-29,10SFH,0.0286,0.0409,0.0735,0.0801,0.2522,0.1895,0.1158,0.0014,23.34,22.1,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-06-14,10SFH,0.0328,0.0433,0.074,0.0808,0.2523,0.187,0.1132,0.0008,27.73,26.41,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2017-06-30,10SFH,0.0259,0.0356,0.0624,0.0668,0.2476,0.1665,0.0958,0.0012,26.21,25.32,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
